t,x,y,z,vx,vy,vz,speed,target_error,target_age_s,obstacle_clearance,goal_distance
22.4,-664.400712247714,-18.802935582363013,16.467863229998148,47.45404596931883,-2.303493745414896,9.683940026107535,48.48681528748447,,,,
22.45,-666.0486437348802,-18.866342519511534,16.50649904210377,47.51285851376061,-2.306369363632414,9.695952277498417,48.546910863181225,,,,
22.5,-669.3506303028129,-18.993389893530164,16.583915249123784,47.630483602636986,-2.312120600233156,9.719976780275978,48.66710201460734,,,,
22.55,-671.0046853835793,-19.057030330400266,16.62269564403818,47.68929614707142,-2.314996218611692,9.731989031663918,48.72719759033649,,,,
22.6,-674.318919138712,-19.184544703862066,16.700401016675745,47.80692123593201,-2.320747455512139,9.756013534446758,48.847388741827146,,,,
22.65,-675.9790978130784,-19.248418640453757,16.739325994398918,47.865733780359506,-2.323623074028682,9.76802578583655,48.907484317588604,,,,
22.7,-677.6413176853115,-19.31237041028598,16.778299166391676,47.9245463247853,-2.3264986925856386,9.780038037225012,48.96757989336069,,,,
22.75,-681.0209208140988,-19.442394140776123,16.857539927492038,48.043901194349324,-2.3323345068279258,9.804415841514572,49.089538561871635,,,,
22.8,-682.6893243151633,-19.506581699542885,16.89665909977209,48.10271373876938,-2.3352101254890805,9.816428092906369,49.14963413767574,,,,
22.85,-686.0322549108922,-19.63519031679799,16.975042027140976,48.22033882760647,-2.340961362893228,9.840452595685317,49.26982528931537,,,,
22.9,-687.7067820055568,-19.699611375286338,17.014305782229805,48.27915137202366,-2.343836981630134,9.85246484707297,49.3299208651508,,,,
22.95,-691.061959788486,-19.82868699198461,17.09297787521624,48.3967764608539,-2.349588219158468,9.876489349854598,49.450112016852515,,,,
23.0,-692.7426104767505,-19.89334155019455,17.13238621311384,48.45558900526813,-2.3524638379441254,9.888501601245327,49.51020759271898,,,,
23.05,-696.1100354468799,-20.02288416633599,17.211347471717826,48.57321409409606,-2.3582150755442646,9.912526104022543,49.63039874448265,,,,
23.1,-697.7968097287446,-20.08777222426751,17.250900392424203,48.63202663850961,-2.3610906943533054,9.924538355410409,49.69049432037965,,,,
23.15,-701.1764818860739,-20.217781839852126,17.330150816645737,48.74965172733502,-2.3668419319764182,9.948562858193577,49.81068547220414,,,,
23.2,-702.8693797615387,-20.282903397505226,17.36984832016089,48.808464271748264,-2.3697175507858024,9.960575109583505,49.87078104813162,,,,
23.25,-706.2612991060681,-20.41338001253301,17.449387909999974,48.92608936057626,-2.375468788389163,9.984599612359492,49.99097220001662,,,,
23.3,-707.9603205751329,-20.4787350699077,17.489229996323903,48.98490190499029,-2.37834440717902,9.996611863749052,50.05106777597386,,,,
23.35,-711.3644871068625,-20.609678684378654,17.56905875178054,49.102526993819566,-2.3840956447260275,10.020636366531992,50.17125892791852,,,,
23.4,-713.0696321695273,-20.67526724147493,17.60904542091324,49.161339538235644,-2.38697126348,10.03264861792118,50.23135450390569,,,,
23.45,-716.4860458884569,-20.806677855389058,17.689163341987424,49.2789646270704,-2.3927225009418853,10.056673120697056,50.35154565590932,,,,
23.5,-718.1973145447218,-20.872499912206916,17.729294593928902,49.33777717148813,-2.3955981196473908,10.068685372088837,50.41164123192568,,,,
23.55,-719.9106243988534,-20.9383998022653,17.76947404013997,49.39658971590698,-2.398473738334671,10.080697623480317,50.47173680795193,,,,
23.6,-723.3433677007166,-21.07043308210366,17.849977515370888,49.51421480474844,-2.4042249756513,10.104722126258597,50.59192796003346,,,,
